"","Chromosome","Start","End","Nclone","Array.24","Array.22","Array.146","Array.62","Array.118","Array.154","Array.112","Array.69","Array.90","Array.99","Array.57","Array.114","Array.5","Array.113","Array.25","Array.102","Array.159","Array.88","Array.50","Array.153","Array.38","Array.104","Array.145","Array.31","Array.135","Array.111","Array.71","Array.47","Array.107","Array.64","Array.30","Array.93"
"27",1,8050444,10537398,265,0,0,0,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,1,-1,0,0,1,0
"28",1,10551320,12533269,211,0,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,0,-1,0,0,0,0
"29",1,12544104,12768740,27,0,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,-1,0,-1,0,0,0,0
"30",1,12774453,12788158,2,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,-1,0,-1,0,0,0,0
"31",1,12800742,12805297,2,-1,0,0,1,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,-1,0,-1,0,0,0,0
"32",1,12833868,13002452,6,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,-1,-1,-1,0,0,0,0
"33",1,13520352,15852641,211,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,1,-1,0,0,-1,1,0,-1,0,-1,0,0,0,0
"34",1,15858551,16119613,39,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,1,0,-1,0,0,1,0
"35",1,16126501,16531740,50,-1,-1,0,1,0,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,-1,1,0,0,0,-1,0,0,0,0
"36",1,16551324,16592466,5,-1,-1,0,1,0,0,0,-1,0,1,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"37",1,16672053,16680432,2,-1,-1,0,1,0,0,1,-1,0,1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",1,16693433,16750002,3,-1,-1,0,1,0,0,1,-1,0,1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",1,16757397,16794038,5,-1,-1,1,1,0,0,1,-1,0,1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"40",1,16799163,16836986,3,-1,-1,1,1,0,0,1,-1,0,0,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"41",1,16954838,16997273,7,-1,-1,1,1,1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"42",1,17030134,17037487,2,-1,-1,0,1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1
"43",1,17042808,19187091,207,-1,-1,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0
"44",1,19200088,21470929,235,0,-1,0,1,0,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0
"45",1,21483025,21545437,5,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
"46",1,21558697,22668805,107,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0
"47",1,22674759,23463832,82,0,-1,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,0,0,-1
"48",1,23469376,25318800,184,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,0,0,-1
"49",1,25354765,25402278,5,0,-1,0,-1,0,1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,0,-1,1,0,1,0,1,0,0,1,-1
"50",1,25414726,25433465,4,0,-1,0,1,0,1,1,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,1,0,0,0,-1
"51",1,25441018,26227863,102,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,0,0,-1
"52",1,26233527,26722236,59,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"53",1,26737835,26751009,3,0,-1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"54",1,26758077,27414811,92,0,0,0,1,1,1,0,-1,-1,1,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"55",1,27418631,27637052,27,1,0,0,1,1,1,0,-1,-1,1,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"56",1,27650970,27755668,12,1,0,0,1,1,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"57",1,27765928,29080585,137,1,0,0,1,1,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"58",1,29088543,30687222,80,1,0,0,1,1,0,0,-1,-1,1,-1,-1,0,-1,0,-1,1,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,-1
"59",1,30716764,30984527,19,1,0,0,1,1,0,0,-1,-1,1,-1,-1,0,-1,0,-1,1,0,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"60",1,31006782,31124964,12,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"61",1,31136968,31957740,91,1,0,0,1,1,0,0,-1,-1,0,-1,-1,0,-1,0,-1,1,1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"62",1,31968013,33181040,142,1,0,0,1,1,1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,0,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"63",1,33189868,34166798,102,1,0,0,1,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,1,0,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"64",1,34172947,35330813,82,1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,-1,1,0,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"65",1,35336344,35895515,59,1,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,0,-1,1,0,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1
"66",1,35903416,37578554,144,1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,1,0,0,-1,0,0,1,1,0,1,0,0,0,-1,0,1
"67",1,37599215,38399540,90,1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,-1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,-1,0,1
"68",1,38432360,38569674,5,1,0,0,1,1,1,-1,1,-1,0,2,-1,0,-1,-1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,-1,0,1
"69",1,38648737,39428343,70,1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,0,1
"70",1,39437661,40202959,89,2,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,-1,0,1
"71",1,40207650,40612758,45,1,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,-1,0,1
"72",1,40617288,40677227,10,1,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,-1,0,1
"73",1,40682830,41867848,116,1,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,-1,0,0,1,1,1,1,2,0,0,-1,0,1
"74",1,41873732,42747586,86,1,0,0,1,1,2,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,-1,0,1
"75",1,42754729,43839204,123,1,0,0,1,1,2,-1,-1,-1,1,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,-1,0,1
"76",1,43848683,44593810,85,1,0,0,1,1,1,-1,-1,-1,1,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,0,1
"77",1,44600018,45223413,73,0,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,1,1,0,0,-1,0,1
"78",1,45231107,46047207,90,0,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,-1,0,1
"79",1,46054586,46436383,40,0,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,-1,0,1
"80",1,46445058,47002412,69,0,0,0,1,1,2,-1,-1,-1,-1,2,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,-1,0,1
"81",1,47020328,47076960,4,0,0,0,1,1,2,-1,-1,-1,-1,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"82",1,47089264,48831518,138,0,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"83",1,48841029,48963712,15,0,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,-1,0,1
"84",1,48974558,49671800,66,0,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"85",1,49686548,50400238,58,0,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"86",1,50444082,51401581,79,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"87",1,51408483,52434446,103,-1,0,0,1,1,0,-1,-1,-1,0,2,-1,0,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,0,1
"88",1,52445317,53651141,136,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-1,0,1
"89",1,53661750,55331098,190,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,0,1,0,0,-1,0,1
"90",1,55339131,55523339,13,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,0,1,0,0,-1,0,1
"91",1,55559966,56093730,31,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,0,1,0,0,-1,0,1
"92",1,56126922,56811818,33,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,-1,0,1
"93",1,56820392,57352466,61,-1,0,0,1,1,1,-1,-1,-1,0,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,-1,0,0,0,-1,0,1
"94",1,57359130,58257959,101,-1,0,0,1,1,1,-1,-1,-1,1,2,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,-1,0,0,0,-1,0,1
"95",1,58269395,58818282,54,-1,0,0,1,1,2,-1,-1,-1,-1,2,-1,0,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,0,0,0,-1,0,1
"96",1,58829706,59938549,86,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"97",1,59947024,60037860,9,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"98",1,60048731,60931948,49,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"99",1,60943372,61455192,37,-1,0,0,2,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"100",1,61460755,62257156,71,-1,0,0,2,1,2,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"101",1,62265513,62775298,54,-1,0,0,2,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"102",1,62781892,63279284,31,-1,0,0,2,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"103",1,63297252,63739396,40,-1,0,0,2,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"104",1,63746181,64381618,65,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"105",1,64392452,65044702,55,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1
"106",1,65061124,65363623,27,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"107",1,65377733,65684038,35,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,1
"108",1,65691013,66605594,87,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,1
"109",1,66624841,66943717,33,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"110",1,66956044,67293111,38,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"111",1,67304899,67564224,26,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"112",1,67574404,69349603,118,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"113",1,69374719,70163952,48,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"114",1,70172264,70544007,39,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"115",1,70553640,70787481,16,-1,0,0,0,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"116",1,70848676,70955685,7,-1,0,0,0,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"117",1,70968966,72065805,106,-1,0,0,0,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"118",1,72080289,72473289,41,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"119",1,72489681,72620747,5,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0
"120",1,72661597,74078153,44,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0
"121",1,74137824,74816963,66,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"122",1,74824437,75454027,38,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"123",1,75473473,76096464,60,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"124",1,76105071,76128015,4,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"125",1,76167515,76719796,56,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"126",1,76735134,77210667,41,-1,0,0,1,1,2,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"127",1,77217365,77934334,77,-1,0,0,1,1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"128",1,77945975,79392599,117,-1,0,0,1,1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"129",1,79437815,80901791,47,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"130",1,80938887,81107155,6,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"131",1,81184008,83075209,95,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"132",1,83100179,83359798,18,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0
"133",1,83381408,83603746,10,-1,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,1
"134",1,83635029,84586214,84,-1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,0
"135",1,84590209,84901413,38,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,0
"136",1,84921910,86224479,136,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,0
"137",1,86236843,87585025,115,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,0
"138",1,87607672,87697095,3,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0
"139",1,87749501,87791319,2,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0
"140",1,87839437,89193171,81,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0
"141",1,89198467,91213470,153,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,0,0
"142",1,91230845,91708215,35,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,0,0
"143",1,91714670,93739491,194,-1,0,0,1,1,1,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,0,0
"144",1,93748351,97087853,241,-1,0,0,1,1,0,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,0,0
"145",1,97110991,102417008,384,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,0,0
"146",1,102443157,103810269,69,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0
"147",1,103819551,103875725,6,-1,0,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,1,0
"148",1,104018651,104671817,24,-1,0,0,1,1,0,0,1,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,1,0
"149",1,104696813,106107236,42,-1,0,0,1,1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,0,0
"150",1,106163050,107403052,43,-1,0,0,1,1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,0,0
"151",1,107408809,108467581,105,-1,0,0,1,1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,0,0
"152",1,108571690,109922013,155,-1,0,0,1,1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,0,0
"153",1,109933787,109968401,4,-1,0,0,2,1,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,2,-1,0,0,0,1,1,1,1,0,0,-1,1,0
"154",1,109987805,110453999,56,-1,0,0,1,1,1,0,1,-1,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-1,0,0
